"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL;MEDICINE, RESEARCH & EXPERIMENTAL;CRITICAL CARE MEDICINE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"CTS-Clinical and Translational Science","CTS-CLIN TRANSL SCI","WILEY","1752-8054","1752-8062","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,061","4.3","Q2","0.78","100"%,
"Neurocritical Care","NEUROCRIT CARE","HUMANA PRESS INC","1541-6933","1556-0961","CRITICAL CARE MEDICINE","SCIE","7,605","4.2","Q1","0.94","29.56"%,
"Medical Gas Research","MED GAS RES","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2045-9912","2045-9912","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,314","4.2","Q2","0.68","93.65"%,
"PRIMARY CARE","PRIMARY CARE","W B SAUNDERS CO-ELSEVIER INC","0095-4543","1558-299X","MEDICINE, GENERAL & INTERNAL","SCIE","2,740","4.1","Q1","2.14","2.63"%,
"LABORATORY INVESTIGATION","LAB INVEST","ELSEVIER SCIENCE INC","0023-6837","1530-0307","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","11,875","4.1","Q2","1.31","22.73"%,
"JOURNAL OF GENERAL INTERNAL MEDICINE","J GEN INTERN MED","SPRINGER","0884-8734","1525-1497","MEDICINE, GENERAL & INTERNAL","SCIE","35,343","4.1","Q1","1.11","30.44"%,
"Journal of Anesthesia Analgesia and Critical Care","J ANESTH ANALG CRIT","SPRINGERNATURE","N/A","2731-3786","CRITICAL CARE MEDICINE","ESCI","792","4.1","Q2","0.85","100"%,
"Internal and Emergency Medicine","INTERN EMERG MED","SPRINGER-VERLAG ITALIA SRL","1828-0447","1970-9366","MEDICINE, GENERAL & INTERNAL","SCIE","5,859","4.1","Q1","0.81","38.76"%,
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION","EUR J CLIN INVEST","WILEY","0014-2972","1365-2362","MEDICINE, GENERAL & INTERNAL","SCIE","8,955","4.1","Q1","0.75","49.9"%,
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION","EUR J CLIN INVEST","WILEY","0014-2972","1365-2362","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,955","4.1","Q2","0.75","49.9"%,
"PAIN MEDICINE","PAIN MED","OXFORD UNIV PRESS","1526-2375","1526-4637","MEDICINE, GENERAL & INTERNAL","SCIE","11,289","4","Q1","1.15","30.8"%,
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","ELSEVIER SCIENCE INC","0885-3924","1873-6513","MEDICINE, GENERAL & INTERNAL","SCIE","16,803","4","Q1","1.03","19.51"%,
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","ACADEMIC PRESS INC ELSEVIER SCIENCE","1096-7192","1096-7206","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","9,226","4","Q2","0.82","38.69"%,
"EXPERT OPINION ON BIOLOGICAL THERAPY","EXPERT OPIN BIOL TH","TAYLOR & FRANCIS LTD","1471-2598","1744-7682","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,077","4","Q2","0.52","7.1"%,
"CLINICAL MEDICINE","CLIN MED","ROY COLL PHYS LONDON EDITORIAL OFFICE","1470-2118","1473-4893","MEDICINE, GENERAL & INTERNAL","SCIE","6,122","3.9","Q1","1.6","99.71"%,
"Diagnostic and Prognostic Research","DIAGN PROGN RES","SPRINGERNATURE","N/A","2397-7523","MEDICINE, GENERAL & INTERNAL","ESCI","961","3.9","Q1","1.16","100"%,
"Journal of Trauma and Acute Care Surgery","J TRAUMA ACUTE CARE","LIPPINCOTT WILLIAMS & WILKINS","2163-0755","2163-0763","CRITICAL CARE MEDICINE","SCIE","14,272","3.9","Q2","1.09","8.08"%,
"JOURNAL OF NEUROTRAUMA","J NEUROTRAUM","SAGE PUBLICATIONS INC","0897-7151","1557-9042","CRITICAL CARE MEDICINE","SCIE","16,986","3.8","Q2","0.96","13.09"%,
"CANADIAN FAMILY PHYSICIAN","CAN FAM PHYSICIAN","COLL FAMILY PHYSICIANS CANADA","0008-350X","1715-5258","MEDICINE, GENERAL & INTERNAL","SCIE","4,822","3.8","Q1","0.95","99.21"%,
"XENOTRANSPLANTATION","XENOTRANSPLANTATION","WILEY","0908-665X","1399-3089","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,082","3.8","Q2","0.93","39.55"%,
"Diagnostics","DIAGNOSTICS","MDPI","N/A","2075-4418","MEDICINE, GENERAL & INTERNAL","SCIE","50,959","3.8","Q1","0.89","99.95"%,
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","WILEY","0141-8955","1573-2665","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,544","3.8","Q2","0.83","67.98"%,
"Current Opinion in Critical Care","CURR OPIN CRIT CARE","LIPPINCOTT WILLIAMS & WILKINS","1070-5295","1531-7072","CRITICAL CARE MEDICINE","SCIE","4,276","3.8","Q2","0.61","11.96"%,
"EXPERIMENTAL BIOLOGY AND MEDICINE","EXP BIOL MED","FRONTIERS MEDIA SA","1535-3702","1535-3699","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","9,181","3.8","Q2","0.57","43.44"%,
"NEUROMODULATION","NEUROMODULATION","ELSEVIER","1094-7159","1525-1403","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,613","3.7","Q2","1.03","29.93"%,
"CELL TRANSPLANTATION","CELL TRANSPLANT","SAGE PUBLICATIONS INC","0963-6897","1555-3892","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,543","3.7","Q2","0.84","100"%,
"International Journal of Medical Sciences","INT J MED SCI","IVYSPRING INT PUBL","1449-1907","1449-1907","MEDICINE, GENERAL & INTERNAL","SCIE","9,910","3.7","Q1","0.8","100"%,
"Diseases","DISEASES-BASEL","MDPI","N/A","2079-9721","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","3,951","3.7","Q2","0.58","99.79"%,
"Journal of Biomedical Research","J BIOMED RES","NANJING MEDICAL UNIV","1674-8301","1876-4819","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,754","3.7","Q2","0.56","99.24"%,
"Australian Critical Care","AUST CRIT CARE","ELSEVIER SCIENCE INC","1036-7314","1878-1721","CRITICAL CARE MEDICINE","SCIE","3,109","3.6","Q2","1.19","37.08"%,
"Disease Models & Mechanisms","DIS MODEL MECH","COMPANY BIOLOGISTS LTD","1754-8403","1754-8411","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,327","3.6","Q2","0.89","100"%,
"POSTGRADUATE MEDICAL JOURNAL","POSTGRAD MED J","OXFORD UNIV PRESS","0032-5473","1469-0756","MEDICINE, GENERAL & INTERNAL","SCIE","7,343","3.6","Q1","0.89","17.84"%,
"Frontiers in Medicine","FRONT MED-LAUSANNE","FRONTIERS MEDIA SA","N/A","2296-858X","MEDICINE, GENERAL & INTERNAL","SCIE","54,614","3.6","Q1","0.83","99.93"%,
"Archives of Medical Science","ARCH MED SCI","TERMEDIA PUBLISHING HOUSE LTD","1734-1922","1896-9151","MEDICINE, GENERAL & INTERNAL","SCIE","5,892","3.6","Q1","0.82","99.83"%,
"Orphanet Journal of Rare Diseases","ORPHANET J RARE DIS","BMC","N/A","1750-1172","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","17,760","3.6","Q2","0.79","100"%,
"ARCHIVES OF MEDICAL RESEARCH","ARCH MED RES","ELSEVIER SCIENCE INC","0188-4409","1873-5487","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,900","3.6","Q2","0.68","30.41"%,
"Minerva Anestesiologica","MINERVA ANESTESIOL","EDIZIONI MINERVA MEDICA","0375-9393","1827-1596","CRITICAL CARE MEDICINE","SCIE","3,767","3.5","Q2","0.83","10.93"%,
"JOURNAL OF CRITICAL CARE","J CRIT CARE","W B SAUNDERS CO-ELSEVIER INC","0883-9441","1557-8615","CRITICAL CARE MEDICINE","SCIE","9,756","3.5","Q2","0.76","41.89"%,
"Vaccines","VACCINES-BASEL","MDPI","N/A","2076-393X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","29,837","3.5","Q2","0.72","100"%,
"Journal of Diabetes Research","J DIABETES RES","WILEY","2314-6745","2314-6753","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,972","3.5","Q2","0.71","100"%,
"Innate Immunity","INNATE IMMUN-LONDON","SAGE PUBLICATIONS LTD","1753-4259","1753-4267","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,830","3.5","Q2","0.59","100"%,
"Vaccine","VACCINE","ELSEVIER SCI LTD","0264-410X","1873-2518","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","48,580","3.4","Q2","0.83","54.63"%,
"ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE","ARCH PATHOL LAB MED","COLL AMER PATHOLOGISTS","0003-9985","1543-2165","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","11,136","3.3","Q2","1.26","94.43"%,
"Journal of Clinical Medicine","J CLIN MED","MDPI","N/A","2077-0383","MEDICINE, GENERAL & INTERNAL","SCIE","132,600","3.3","Q1","0.86","99.95"%,
"PPAR Research","PPAR RES","WILEY","1687-4757","1687-4765","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,364","3.3","Q2","0.69","100"%,
"Animal Models and Experimental Medicine","ANIM MODEL EXP MED","WILEY","2096-5451","2576-2095","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,776","3.3","Q2","0.53","100"%,
"Interactive Journal of Medical Research","INTERACT J MED RES","JMIR PUBLICATIONS, INC","1929-073X","1929-073X","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,270","3.3","Q2","0.5","98.74"%,
"JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE","J URBAN HEALTH","SPRINGER","1099-3460","1468-2869","MEDICINE, GENERAL & INTERNAL","SCIE","6,263","3.2","Q1","1.04","36.74"%,
"Preventive Medicine","PREV MED","ACADEMIC PRESS INC ELSEVIER SCIENCE","0091-7435","1096-0260","MEDICINE, GENERAL & INTERNAL","SCIE","20,853","3.2","Q1","0.97","30.22"%,
"JOURNAL OF KOREAN MEDICAL SCIENCE","J KOREAN MED SCI","KOREAN ACAD MEDICAL SCIENCES","1011-8934","1598-6357","MEDICINE, GENERAL & INTERNAL","SCIE","10,211","3.2","Q1","0.84","97.98"%,
"Iranian Journal of Basic Medical Sciences","IRAN J BASIC MED SCI","MASHHAD UNIV MED SCIENCES","2008-3866","2008-3874","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,368","3.2","Q2","0.74","0"%,
"Discovery Medicine","DISCOV MED","DISCOVERY MEDICINE","1539-6509","1944-7930","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,529","3.2","Q2","0.55","3.07"%,
"SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE","SEMIN RESP CRIT CARE","THIEME MEDICAL PUBL INC","1069-3424","1098-9048","CRITICAL CARE MEDICINE","SCIE","3,411","3.2","Q2","0.52","4.76"%,
"Critical Care and Resuscitation","CRIT CARE RESUSC","ELSEVIER","1441-2772","1441-2772","CRITICAL CARE MEDICINE","SCIE","1,333","3.2","Q2","0.51","95.61"%,
"JOURNAL OF MEDICAL ECONOMICS","J MED ECON","TAYLOR & FRANCIS LTD","1369-6998","1941-837X","MEDICINE, GENERAL & INTERNAL","SCIE","4,043","3.1","Q1","1.01","100"%,
"Resuscitation Plus","RESUSC PLUS","ELSEVIER","2666-5204","2666-5204","CRITICAL CARE MEDICINE","ESCI","2,284","3.1","Q2","0.88","100"%,
"Laboratory Animal Research","LAB ANIM RES","SPRINGERNATURE","1738-6055","2233-7660","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,251","3.1","Q2","0.87","100"%,
"YONSEI MEDICAL JOURNAL","YONSEI MED J","YONSEI UNIV COLL MEDICINE","0513-5796","1976-2437","MEDICINE, GENERAL & INTERNAL","SCIE","5,329","3.1","Q1","0.8","100"%,
"KAOHSIUNG JOURNAL OF MEDICAL SCIENCES","KAOHSIUNG J MED SCI","WILEY","1607-551X","2410-8650","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,593","3.1","Q2","0.66","100"%,
"Tissue Barriers","TISSUE BARRIERS","TAYLOR & FRANCIS INC","2168-8370","2168-8370","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,983","3.1","Q2","0.63","13.98"%,
"Clinical and Translational Discovery","CLIN TRANSL DISCOV","WILEY","N/A","2768-0622","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","381","3.1","Q2","0.24","100"%,
"ATLA-ALTERNATIVES TO LABORATORY ANIMALS","ATLA-ALTERN LAB ANIM","SAGE PUBLICATIONS LTD","0261-1929","2632-3559","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,162","3","Q3","0.65","28.99"%,
"CRITICAL CARE CLINICS","CRIT CARE CLIN","W B SAUNDERS CO-ELSEVIER INC","0749-0704","1557-8232","CRITICAL CARE MEDICINE","SCIE","2,996","3","Q2","0.63","2.05"%,
"Current Research in Translational Medicine","CURR RES TRANSL MED","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","2452-3186","2452-3186","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","744","3","Q3","0.62","22.52"%,
"JOURNAL OF GENE MEDICINE","J GENE MED","WILEY","1099-498X","1521-2254","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,785","3","Q3","0.62","15.38"%,
"CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL","CURR THER RES CLIN E","ELSEVIER SCIENCE INC","0011-393X","1879-0313","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,186","3","Q3","0.61","100"%,
"BioMedicine-Taiwan","BIOMEDICINE-TAIWAN","DIGITAL COMMONS BEPRESS","2211-8020","2211-8039","MEDICINE, GENERAL & INTERNAL","ESCI","996","3","Q1","0.54","98.59"%,
"HONG KONG MEDICAL JOURNAL","HONG KONG MED J","HONG KONG ACAD MEDICINE PRESS","1024-2708","1024-2708","MEDICINE, GENERAL & INTERNAL","SCIE","1,854","3","Q1","0.47","100"%,
"BMC Primary Care","BMC PRIM CARE","BMC","N/A","2731-4553","MEDICINE, GENERAL & INTERNAL","SCIE","3,510","2.9","Q1","1.52","100"%,
"Medicina-Lithuania","MEDICINA-LITHUANIA","MDPI","1010-660X","1648-9144","MEDICINE, GENERAL & INTERNAL","SCIE","30,609","2.9","Q1","0.75","99.92"%,
"Health Science Reports","HEALTH SCI REP-US","WILEY","N/A","2398-8835","MEDICINE, GENERAL & INTERNAL","ESCI","6,291","2.9","Q1","0.69","100"%,
"Pragmatic and Observational Research","PRAGMAT OBS RES","DOVE MEDICAL PRESS LTD","1179-7266","1179-7266","MEDICINE, GENERAL & INTERNAL","ESCI","297","2.9","Q1","0.68","100"%,
"JOURNAL OF IMMUNOTHERAPY","J IMMUNOTHER","LIPPINCOTT WILLIAMS & WILKINS","1524-9557","1537-4513","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,016","2.9","Q3","0.67","25.38"%,
"Intensive Care Medicine Experimental","INTENS CARE MED EXP","SPRINGER","2197-425X","2197-425X","CRITICAL CARE MEDICINE","ESCI","1,958","2.9","Q2","0.65","100"%,
"Critical Care Explorations","CRIT CARE EXPLOR","LIPPINCOTT WILLIAMS & WILKINS","N/A","2639-8028","CRITICAL CARE MEDICINE","ESCI","3,082","2.9","Q2","0.63","99.59"%,
"ANNALS ACADEMY OF MEDICINE SINGAPORE","ANN ACAD MED SINGAP","ACAD MEDICINE SINGAPORE","N/A","2972-4066","MEDICINE, GENERAL & INTERNAL","SCIE","2,573","2.9","Q1","0.6","100"%,
"Biomed Research International","BIOMED RES INT","WILEY","2314-6133","2314-6141","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","63,563","2.9","Q3","0.58","100"%,
"JOURNAL OF BONE AND MINERAL METABOLISM","J BONE MINER METAB","SPRINGER JAPAN KK","0914-8779","1435-5604","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,708","2.9","Q3","0.55","19.55"%,
"JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION","J FORMOS MED ASSOC","ELSEVIER TAIWAN","0929-6646","1876-0821","MEDICINE, GENERAL & INTERNAL","SCIE","6,392","2.8","Q1","0.83","100"%,
"Clinics and Practice","CLINICS PRACT","MDPI","2039-7275","2039-7283","MEDICINE, GENERAL & INTERNAL","ESCI","1,997","2.8","Q1","0.68","100"%,
"Biomolecules and Biomedicine","BIOMOL BIOMED","ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO","2831-0896","2831-090X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,299","2.8","Q3","0.56","99.68"%,
"MEDICINA CLINICA","MED CLIN-BARCELONA","ELSEVIER ESPANA SLU","0025-7753","1578-8989","MEDICINE, GENERAL & INTERNAL","SCIE","3,999","2.8","Q1","0.56","18.78"%,
"CURRENT MEDICAL RESEARCH AND OPINION","CURR MED RES OPIN","TAYLOR & FRANCIS LTD","0300-7995","1473-4877","MEDICINE, GENERAL & INTERNAL","SCIE","8,194","2.8","Q1","0.53","10.13"%,
"CURRENT MEDICAL RESEARCH AND OPINION","CURR MED RES OPIN","TAYLOR & FRANCIS LTD","0300-7995","1473-4877","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,194","2.8","Q3","0.53","10.13"%,
"CURRENT MOLECULAR MEDICINE","CURR MOL MED","BENTHAM SCIENCE PUBL LTD","1566-5240","1875-5666","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,000","2.8","Q3","0.45","6.38"%,
"International Journal of Health Sciences-IJHS","INT J HEALTH SCI-IJH","SCIENTIFIC SCHOLAR LLC","1658-3639","1658-7774","MEDICINE, GENERAL & INTERNAL","ESCI","1,672","2.8","Q1","0.41","22.73"%,
"European Journal of General Practice","EUR J GEN PRACT","TAYLOR & FRANCIS LTD","1381-4788","1751-1402","MEDICINE, GENERAL & INTERNAL","SCIE","1,990","2.7","Q2","1.35","100"%,
"SHOCK","SHOCK","LIPPINCOTT WILLIAMS & WILKINS","1073-2322","1540-0514","CRITICAL CARE MEDICINE","SCIE","8,987","2.7","Q2","0.9","24.61"%,
"POSTGRADUATE MEDICINE","POSTGRAD MED","TAYLOR & FRANCIS LTD","0032-5481","1941-9260","MEDICINE, GENERAL & INTERNAL","SCIE","4,155","2.7","Q2","0.76","3.64"%,
"MEDICAL PRINCIPLES AND PRACTICE","MED PRIN PRACT","KARGER","1011-7571","1423-0151","MEDICINE, GENERAL & INTERNAL","SCIE","3,340","2.7","Q2","0.66","100"%,
"Journal of Taibah University Medical Sciences","J TAIBAH UNIV MED SC","ELSEVIER","1658-3612","1658-3612","MEDICINE, GENERAL & INTERNAL","ESCI","2,213","2.7","Q2","0.63","100"%,
"SINGAPORE MEDICAL JOURNAL","SINGAP MED J","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0037-5675","2737-5935","MEDICINE, GENERAL & INTERNAL","SCIE","4,404","2.7","Q2","0.62","100"%,
"EXPERIMENTAL HEMATOLOGY","EXP HEMATOL","ELSEVIER SCIENCE INC","0301-472X","1873-2399","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,463","2.7","Q3","0.5","35.14"%,
"Research and Reports in Tropical Medicine","RES REP TROP MED","DOVE MEDICAL PRESS LTD","1179-7282","1179-7282","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","553","2.7","Q3","0.49","100"%,
"CHEST Critical Care","CHEST CRIT CARE","ELSEVIER","N/A","2949-7884","CRITICAL CARE MEDICINE","ESCI","254","2.7","Q2","0.46","99.28"%,
"Journal of Clinical and Translational Science","J CLIN TRANSL SCI","CAMBRIDGE UNIV PRESS","N/A","2059-8661","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","3,108","2.7","Q3","0.44","100"%,
"BURNS","BURNS","ELSEVIER SCI LTD","0305-4179","1879-1409","CRITICAL CARE MEDICINE","SCIE","10,262","2.6","Q2","0.95","24.97"%,
"AMERICAN JOURNAL OF CRITICAL CARE","AM J CRIT CARE","AMER ASSOC CRITICAL CARE NURSES","1062-3264","1937-710X","CRITICAL CARE MEDICINE","SCIE","2,830","2.6","Q2","0.73","0.72"%,
"Patient Preference and Adherence","PATIENT PREFER ADHER","DOVE MEDICAL PRESS LTD","1177-889X","N/A","MEDICINE, GENERAL & INTERNAL","SCIE","7,713","2.6","Q2","0.7","99.4"%,
"World Journal of Traditional Chinese Medicine","WORLD J TRAD CHINESE","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2311-8571","2589-2894","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","705","2.6","Q3","0.59","100"%,
"Journal of Cardiovascular Translational Research","J CARDIOVASC TRANSL","SPRINGER","1937-5387","1937-5395","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,922","2.6","Q3","0.58","29.85"%,
"WIENER KLINISCHE WOCHENSCHRIFT","WIEN KLIN WOCHENSCHR","SPRINGER WIEN","0043-5325","1613-7671","MEDICINE, GENERAL & INTERNAL","SCIE","3,304","2.6","Q2","0.58","72.41"%,
"Trauma Surgery & Acute Care Open","TRAUMA SURG ACUTE CA","BMJ PUBLISHING GROUP","N/A","2397-5776","CRITICAL CARE MEDICINE","ESCI","1,932","2.5","Q3","0.8","100"%,
"BMJ Open","BMJ OPEN","BMJ PUBLISHING GROUP","2044-6055","2044-6055","MEDICINE, GENERAL & INTERNAL","SCIE","107,859","2.5","Q2","0.72","99.99"%,
"Libyan Journal of Medicine","LIBYAN J MED","TAYLOR & FRANCIS LTD","1993-2820","1819-6357","MEDICINE, GENERAL & INTERNAL","SCIE","692","2.5","Q2","0.67","100"%,
"Vaccine: X","VACCINE-X","ELSEVIER","2590-1362","2590-1362","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,391","2.5","Q3","0.56","100"%,
"Current Trauma Reports","CURR TRAUMA REP","SPRINGER","2198-6096","2198-6096","CRITICAL CARE MEDICINE","ESCI","402","2.5","Q3","0.55","28.3"%,
"Advances in Medical Sciences","ADV MED SCI-POLAND","ELSEVIER URBAN & PARTNER SP Z O O","1896-1126","1898-4002","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,812","2.5","Q3","0.51","27.5"%,
"Medicina Intensiva","MED INTENSIVA","ELSEVIER ESPANA SLU","0210-5691","1578-6749","CRITICAL CARE MEDICINE","SCIE","1,523","2.5","Q3","0.51","11.56"%,
"Biomedical Reports","BIOMED REP","SPANDIDOS PUBL LTD","2049-9434","2049-9442","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","3,618","2.5","Q3","0.46","100"%,
"MEDICAL SCIENCE MONITOR","MED SCI MONITOR","INT SCIENTIFIC INFORMATION, INC","N/A","1643-3750","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","16,764","2.5","Q3","0.45","94.39"%,
"Advances in Clinical and Experimental Medicine","ADV CLIN EXP MED","WROCLAW MEDICAL UNIV","1899-5276","2451-2680","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,679","2.5","Q3","0.4","99.28"%,
"Future Science OA","FUTUR SCI OA","TAYLOR & FRANCIS LTD","2056-5623","2056-5623","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","2,073","2.5","Q3","0.4","100"%,
"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","INJURY","ELSEVIER SCI LTD","0020-1383","1879-0267","CRITICAL CARE MEDICINE","SCIE","22,132","2.4","Q3","0.86","19.64"%,
"Sexual Medicine","SEX MED-UK","OXFORD UNIV PRESS","N/A","2050-1161","MEDICINE, GENERAL & INTERNAL","SCIE","1,870","2.4","Q2","0.76","100"%,
"Clinics","CLINICS","ELSEVIER ESPANA","1807-5932","1980-5322","MEDICINE, GENERAL & INTERNAL","SCIE","5,763","2.4","Q2","0.56","99.83"%,
"Clinical Trials","CLIN TRIALS","SAGE PUBLICATIONS LTD","1740-7745","1740-7753","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,279","2.4","Q3","0.54","34.09"%,
"Saudi Journal of Medicine & Medical Sciences","SAUDI J MED MED SCI","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1658-631X","2321-4856","MEDICINE, GENERAL & INTERNAL","ESCI","644","2.4","Q2","0.5","100"%,
"Tzu Chi Medical Journal","TZU CHI MED J","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1016-3190","2223-8956","MEDICINE, GENERAL & INTERNAL","ESCI","1,169","2.4","Q2","0.47","100"%,
"Experimental Neurobiology","EXP NEUROBIOL","KOREAN SOC BRAIN & NEURAL SCIENCE, KOREAN SOC NEURODEGENERATIVE DISEASE","1226-2560","2093-8144","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,497","2.4","Q3","0.45","100"%,
"AMERICAN JOURNAL OF THE MEDICAL SCIENCES","AM J MED SCI","ELSEVIER SCIENCE INC","0002-9629","1538-2990","MEDICINE, GENERAL & INTERNAL","SCIE","6,305","2.4","Q2","0.44","8.03"%,
"Redox Experimental Medicine","REDOX EXP MED","BIOSCIENTIFICA LTD","N/A","2755-158X","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","120","2.4","Q3","0.25","100"%,
"Journal of the American Board of Family Medicine","J AM BOARD FAM MED","AMER BOARD FAMILY MEDICINE","1557-2625","1558-7118","MEDICINE, GENERAL & INTERNAL","SCIE","4,507","2.3","Q2","1.28","98.55"%,
"Journal of the Chinese Medical Association","J CHIN MED ASSOC","LIPPINCOTT WILLIAMS & WILKINS","1726-4901","1728-7731","MEDICINE, GENERAL & INTERNAL","SCIE","3,478","2.3","Q2","0.74","98.99"%,
"JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION","J NATL MED ASSOC","ELSEVIER SCIENCE INC","0027-9684","1943-4693","MEDICINE, GENERAL & INTERNAL","SCIE","3,998","2.3","Q2","0.67","17.22"%,
"Critical Care Nurse","CRIT CARE NURSE","AMER ASSOC CRITICAL CARE NURSES","0279-5442","1940-8250","CRITICAL CARE MEDICINE","SCIE","1,420","2.3","Q3","0.61","0"%,
"Respiratory Care","RESP CARE","SAGE PUBLICATIONS INC","0020-1324","1943-3654","CRITICAL CARE MEDICINE","SCIE","7,413","2.3","Q3","0.6","4.94"%,
"International Journal of General Medicine","INT J GEN MED","DOVE MEDICAL PRESS LTD","N/A","1178-7074","MEDICINE, GENERAL & INTERNAL","SCIE","8,755","2.3","Q2","0.59","99.17"%,
"Acute and Critical Care","ACUTE CRIT CARE","KOREAN SOC CRITICAL CARE MEDICINE","2586-6052","2586-6060","CRITICAL CARE MEDICINE","ESCI","972","2.3","Q3","0.53","100"%,
"UPSALA JOURNAL OF MEDICAL SCIENCES","UPSALA J MED SCI","UPSALA MED SOC","0300-9734","2000-1967","MEDICINE, GENERAL & INTERNAL","SCIE","1,522","2.3","Q2","0.49","97.44"%,
"JOURNAL OF INTENSIVE CARE MEDICINE","J INTENSIVE CARE MED","SAGE PUBLICATIONS INC","0885-0666","1525-1489","CRITICAL CARE MEDICINE","SCIE","4,114","2.3","Q3","0.47","13.45"%,
